str,en_US,ja_JP,zh_CN,ko,zh_TW,es,th,pt,de,fr
首が切り落とされるたびに自ターンの攻撃確率が{num}%上がる。,"Each time a head is cut off, attack chance on own turn increases by {num}%",首が切り落とされるたびに自ターンの攻撃確率が{num}%上がる。,每砍下一颗头颅，自身回合的攻击几率提高{num}%。,머리가 잘릴 때마다 자신의 턴 공격 확률이 {num}% 상승함。,每砍下一顆頭顱，自身回合的攻擊幾率提高{num}%。,"Cada vez que se corta una cabeza, la probabilidad de ataque en tu turno aumenta {num}%",ทุกครั้งที่หัวถูกตัดออก ความน่าจะเป็นในการโจมตีในเทิร์นของตนจะเพิ่มขึ้น {num}%,"Cada vez que uma cabeça é cortada, a chance de ataque no próprio turno aumenta em {num}%","Jedes Mal, wenn ein Kopf abgeschlagen wird, erhöht sich die Angriffschance im eigenen Zug um {num}%.","Chaque fois qu'une tête est coupée, la chance d'attaque à son tour augmente de {num}%"
吸血,Lifesteal,吸血,吸血,흡혈,吸血,Absorción de vida,ดูดเลือด,Drenagem de vida,Blutsauger,Vol de vie
攻撃と同時に吸血し、自らのHPを%回復＆毒蓄積を1/3にする。,"Drains life while attacking, healing {num}% HP and reducing poison buildup to 1/3.",攻撃と同時に吸血し、自らのHPを{num}%回復＆毒蓄積を1/3にする。,攻击时吸血，回复自身{num}%的HP，毒素累积降至1/3。,공격과 동시에 흡혈하여 자신의 HP를 {num}% 회복하고 독 축적을 1/3로 만듦。,攻擊時吸血，回復自身{num}%的HP，毒素累積降至1/3。,"Absorbe vida al atacar, recupera {num}% de HP y reduce la acumulación de veneno a 1/3.",ดูดเลือดขณะโจมตี ฟื้นฟู HP {num}% และลดการสะสมพิษลงเหลือ 1/3,"Absorve vida ao atacar, recupera {num}% do HP e reduz o acúmulo de veneno para 1/3","Zieht beim Angriff Leben ab, heilt {num}% HP und reduziert die Giftakkumulation auf ein Drittel.","Draine la vie en attaquant, soignant {num}% de PV et réduisant l'accumulation de poison à 1/3."
切り落とし,Decapitation,切り落とし,斩首,절단,斬首,Decapitación,ตัดหัว,Decapitação,Enthauptung,Décapitation
毒を受けると自ら首を切り落として毒蓄積を解除（最大7回まで）。,Cuts off own head to remove poison buildup when poisoned (up to 7 times).,毒を受けると自ら首を切り落として毒蓄積を解除（最大7回まで）。,受到中毒时，自断其首，解除毒素累积（最多7次）。,독에 걸리면 스스로 머리를 잘라 독 축적을 해제함(최대 7회).,受到中毒時，自斷其首，解除毒素累積（最多7次）。,Se decapita a sí mismo para eliminar acumulación de veneno al envenenarse (máx. 7 veces).,เมื่อได้รับพิษจะตัดหัวของตนเองเพื่อล้างพิษ (สูงสุด 7 ครั้ง),Corta a própria cabeça para remover acúmulo de veneno ao ser envenenado (máx. 7 vezes),"Schlägt den eigenen Kopf ab, um bei Vergiftung die Giftakkumulation zu entfernen (bis zu 7 Mal).",Coupe sa propre tête pour éliminer l'accumulation de poison lorsqu'il est empoisonné (jusqu'à 7 fois).
弱点部位,Weak Spot,弱点部位,弱点部位,약점 부위,弱點部位,Punto débil,จุดอ่อน,Ponto fraco,Schwachstelle,Point faible
戦闘対象から会心攻撃を2発受けると、勾玉が破壊される。,Receiving 2 critical hits from the enemy destroys the magatama.,戦闘対象から会心攻撃を2発受けると、勾玉が破壊される。,受到战斗对象2次会心攻击后，勾玉就会破碎。,전투 대상에게 2번의 회심 공격을 받으면 마가타마가 파괴됨。,受到戰鬥對象2次會心攻擊後，勾玉就會破碎。,Recibir 2 ataques críticos destruye la magatama.,เมื่อถูกโจมตีคริติคอล 2 ครั้ง ลูกแก้วจะถูกทำลาย,Receber 2 ataques críticos destrói o magatama,"Erhält der Gegner 2 kritische Treffer, wird die Magatama zerstört.",Recevoir 2 coups critiques de l'ennemi détruit le magatama.
その瞬間すべての首が吹き飛び、すぐさま勾玉と共に8本の首が再生される。,"At that moment, all heads are blown off and instantly regenerate with the magatama.",その瞬間すべての首が吹き飛び、すぐさま勾玉と共に8本の首が再生される。,顿时，所有头颅支离破碎。接着，八个头与勾玉重获新生。,그 순간 모든 머리가 날아가고 즉시 마가타마와 함께 8개의 머리가 재생됨。,頓時，所有頭顱支離破碎。接著，八個頭與勾玉重獲新生。,"En ese instante, todas las cabezas explotan y se regeneran junto con la magatama.",ในขณะนั้น หัวทั้งหมดจะระเบิดและเกิดใหม่พร้อมกับลูกแก้วทั้ง 8 หัว,"Naquele momento, todas as cabeças são destruídas e regeneradas instantaneamente com o magatama",In diesem Moment werden alle Köpfe abgeschossen und sofort zusammen mit der Magatama regeneriert.,"À ce moment-là, toutes les têtes sont arrachées et régénérées instantanément avec le magatama."
威圧Lv,Intimidation Lv{num},威圧Lv{num},威压Lv{num},위압 Lv{num},威壓Lv{num},Intimidación Nivel {num},ระดับข่มขู่ {num},Intimidação Nível {num},Einschüchterung Lv{num},Intimidation Niv{num}
鋭い睨みで戦闘対象の回避率を1/3にする。,Sharp glare reduces enemy’s evasion rate to 1/3.,鋭い睨みで戦闘対象の回避率を1/3にする。,锐利的目光使战斗对象的闪避率降为1/3。,날카로운 눈빛으로 전투 대상의 회피율을 1/3로 낮춤。,銳利的目光使戰鬥對象的閃避率降為1/3。,Mirada penetrante reduce la tasa de evasión del enemigo a 1/3.,สายตาอันเฉียบคมลดอัตราการหลบหลีกของฝ่ายตรงข้ามลงเหลือ 1/3,Olhar penetrante reduz a taxa de evasão do inimigo para 1/3,Ein scharfer Blick reduziert die Ausweichrate des Gegners auf ein Drittel.,Le regard perçant réduit le taux d'esquive de l'ennemi à 1/3.
鋭い睨みで戦闘対象の回避率をさらに1/3にする。,Sharp glare further reduces enemy’s evasion rate by another 1/3.,鋭い睨みで戦闘対象の回避率をさらに1/3にする。,锐利的目光再次使战斗对象的闪避率降为1/3。,날카로운 눈빛으로 전투 대상의 회피율을 추가로 1/3 더 낮춤。,銳利的目光再次讓戰鬥對象的閃避率降為1/3。,Mirada penetrante reduce aún más la evasión del enemigo en 1/3.,สายตาอันเฉียบคมลดอัตราการหลบหลีกของฝ่ายตรงข้ามลงอีก 1/3,Olhar penetrante reduz ainda mais a evasão do inimigo em 1/3,Der scharfe Blick reduziert die Ausweichrate des Gegners zusätzlich um ein weiteres Drittel.,Le regard perçant réduit encore le taux d'esquive de l'ennemi d'un autre tiers.
ダンジョン階の探索失敗,{dungeon} {floor}F adventure failed.,{dungeon} {floor}階の探索失敗,{dungeon}第{floor}层的探索失败,{dungeon} {floor}층 탐색 실패,{dungeon}第{floor}層的探索失敗,La aventura en {dungeon} {floor}F falló.,การสำรวจ {dungeon} {floor}F ล้มเหลว,A aventura em {dungeon} {floor}F falhou.,{dungeon} {floor}F Erforschung fehlgeschlagen.,Aventure échouée à {dungeon} {floor}e.
個のアイテムを失った,Lost {num} items.,{num}個のアイテムをロストした,丢失了{num}个物品,{num}개의 아이템을 잃어버렸다,遺失了{num}個物品,Perdiste {num} artículos.,สูญเสียไอเทม {num} ชิ้น,Perdeu {num} itens.,{num} Gegenstände verloren.,Perdu {num} objets.
を失った,Lost {item}.,{item}をロストした,丢失了“{item}”,{item}을(를) 잃어버렸다,遺失了“{item}”,Perdiste {item}.,สูญเสีย {item},Perdeu {item}.,{item} verloren.,Perdu {item}.
逆行の懐中時計,Counterclockwise Watch,逆行の懐中時計,逆行的怀表,역행의 회중시계,逆行的懷錶,Reloj de Bolsillo Inverso,นาฬิกาพกย้อนกลับ,Relógio de Bolso Reverso,Gegen den Uhrzeigersinn Uhr,Montre à Contre-Sens
古びた時計だ,An old clock.,古びた時計だ,一块老旧的手表。,낡은 시계다,一隻老舊的手錶。,Un reloj antiguo.,นาฬิกาเก่า,Um relógio antigo.,Eine alte Uhr.,Une vieille horloge.
失ったアイテムを取り戻すことができる古びた懐中時計,An old pocket watch that can retrieve lost items,ロストしたアイテムを取り戻すことができる古びた懐中時計,能找回丢失物品的老旧怀表。,잃어버린 아이템을 되찾을 수 있는 낡은 회중시계,能找回遺失物品的老舊懷錶,Un reloj de bolsillo antiguo que puede recuperar artículos perdidos.,นาฬิกาพกเก่าที่สามารถกู้คืนไอเทมที่สูญเสียได้,Um relógio de bolso antigo que pode recuperar itens perdidos.,"Eine alte Taschenuhr, die verlorene Gegenstände zurückholen kann.",Une vieille montre de poche capable de récupérer les objets perdus
全てのロストアイテムを取り戻した！,Recovered all lost items!,全てのロストアイテムを取り戻した！,找回了所有丢失的物品！,잃어버린 아이템을 전부 되찾았다!,找回了所有丟失的物品！,¡Recuperaste todos los artículos perdidos!,กู้คืนไอเทมที่สูญเสียทั้งหมด!,Recuperou todos os itens perdidos!,Alle verlorenen Gegenstände wurden zurückerlangt!,Tous les objets perdus ont été récupérés !
一部のロストアイテムを取り戻した,Recovered some of the lost items,一部のロストアイテムを取り戻した,找回了部分丢失的物品,잃어버린 아이템을 일부 되찾았다,找回了部分丟失的物品,Recuperaste algunos de los artículos perdidos.,กู้คืนไอเทมที่สูญเสียบางส่วน,Recuperou alguns dos itens perdidos.,Einige der verlorenen Gegenstände wurden zurückerlangt.,Certains des objets perdus ont été récupérés
ロスト,Lost,ロスト,丢失,소실,遺失,Pérdida,การสูญเสีย,Perda,Verloren,Perdu
ロストを回避,Avoid loss,ロストを回避する,避免丢失,소실을 회피하기,避免丟失,Evitar pérdida,หลีกเลี่ยงการสูญเสีย,Evitar perda,Verlust vermeiden,Éviter la perte
と対峙した,Confronted {monster}.,{monster}と対峙した,遭遇到了{monster},{monster}와(과) 대치했다,遭遇到了{monster},Te enfrentaste a {monster}.,เผชิญหน้ากับ {monster},Confrontou {monster}.,Dem {monster} gegenübergestanden.,Confronté à {monster}.
